num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps,drrn_model_file
0,50,0,23,True,0,3,3,False,0,17,25,512,models/model_task1melt/model-steps64000-eps512.pt
34,0,1,24,False,100,0,100,True,8,17,25,512,models/model_task1melt/model-steps64000-eps512.pt
12,50,1,25,True,3,0,3,False,5,17,25,512,models/model_task1melt/model-steps64000-eps512.pt
0,50,0,26,True,0,5,5,False,0,18,25,512,models/model_task1melt/model-steps64000-eps512.pt
0,50,0,27,True,0,3,3,False,0,18,25,512,models/model_task1melt/model-steps64000-eps512.pt
0,50,0,28,True,0,3,3,False,0,19,25,512,models/model_task1melt/model-steps64000-eps512.pt
0,50,0,29,True,0,3,3,False,0,19,25,512,models/model_task1melt/model-steps64000-eps512.pt
0,50,0,21,True,0,2,2,False,0,16,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,22,True,0,2,2,False,0,17,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,23,True,0,2,2,False,0,17,25,565,models/model_task1melt/model-steps72000-eps565.pt
34,0,1,24,False,100,0,100,True,8,17,25,565,models/model_task1melt/model-steps72000-eps565.pt
12,50,1,25,True,3,2,5,False,5,17,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,26,True,0,3,3,False,0,18,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,27,True,0,2,2,False,0,18,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,28,True,0,2,2,False,0,19,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,29,True,0,2,2,False,0,19,25,565,models/model_task1melt/model-steps72000-eps565.pt
0,50,0,21,True,0,2,2,False,0,16,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,22,True,0,2,2,False,0,17,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,23,True,0,2,2,False,0,17,25,614,models/model_task1melt/model-steps80000-eps614.pt
34,0,1,24,False,100,0,100,True,8,17,25,614,models/model_task1melt/model-steps80000-eps614.pt
12,50,1,25,True,3,2,5,False,5,17,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,26,True,0,3,3,False,0,18,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,27,True,0,2,2,False,0,18,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,28,True,0,2,2,False,0,19,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,29,True,0,2,2,False,0,19,25,614,models/model_task1melt/model-steps80000-eps614.pt
0,50,0,21,True,0,3,3,False,0,19,50,117,models/model_task1melt/model-steps8000-eps117.pt
0,50,0,22,True,0,3,3,False,0,20,50,117,models/model_task1melt/model-steps8000-eps117.pt
0,50,0,23,True,0,3,3,False,0,20,50,117,models/model_task1melt/model-steps8000-eps117.pt
34,0,1,24,False,100,0,100,True,8,20,50,117,models/model_task1melt/model-steps8000-eps117.pt
12,50,1,25,True,3,0,3,False,5,20,50,117,models/model_task1melt/model-steps8000-eps117.pt
0,50,0,26,True,0,3,3,False,0,21,50,117,models/model_task1melt/model-steps8000-eps117.pt
0,50,0,27,True,0,3,3,False,0,21,50,117,models/model_task1melt/model-steps8000-eps117.pt
26,0,1,28,False,100,0,100,True,7,21,50,117,models/model_task1melt/model-steps8000-eps117.pt
26,0,1,29,False,100,0,100,True,7,21,50,117,models/model_task1melt/model-steps8000-eps117.pt
0,50,0,21,True,0,3,3,False,0,19,50,173,models/model_task1melt/model-steps16000-eps173.pt
0,50,0,22,True,0,3,3,False,0,20,50,173,models/model_task1melt/model-steps16000-eps173.pt
0,50,0,23,True,0,3,3,False,0,20,50,173,models/model_task1melt/model-steps16000-eps173.pt
34,0,1,24,False,100,0,100,True,8,20,50,173,models/model_task1melt/model-steps16000-eps173.pt
12,50,1,25,True,3,0,3,False,5,20,50,173,models/model_task1melt/model-steps16000-eps173.pt
